year;title;studios;producers;winner
2017;Baywatch;Paramount Pictures;Douglas Schwartz;
2017;Baywatch;Paramount Pictures;Gregory J. Bonann;
2017;Baywatch;Paramount Pictures;Beau Flynn;
2017;Fifty Shades Darker;Universal Pictures;Michael De Luca;
2017;Fifty Shades Darker;Universal Pictures;E. L. James;
2017;Fifty Shades Darker;Universal Pictures;Dana Brunetti;
2017;Fifty Shades Darker;Universal Pictures;Marcus Viscidi;
2017;The Mummy;Universal Pictures;Alex Kurtzman;
2017;The Mummy;Universal Pictures;Chris Morgan;
2017;The Mummy;Universal Pictures;Sean Daniel;
2017;The Mummy;Universal Pictures;Sarah Bradshaw;
2017;Transformers: The Last Knight;Paramount Pictures;Don Murphy;
2017;Transformers: The Last Knight;Paramount Pictures;Tom DeSanto;
2017;Transformers: The Last Knight;Paramount Pictures;Lorenzo di Bonaventura;
2017;Transformers: The Last Knight;Paramount Pictures;Ian Bryce;
2018;Holmes & Watson;Columbia Pictures;Will Ferrell;yes
2018;Holmes & Watson;Columbia Pictures;Adam McKay;yes
2018;Holmes & Watson;Columbia Pictures;Jimmy Miller;yes
2018;Holmes & Watson;Columbia Pictures;Clayton Townsend;yes
2018;Gotti;Vertical Entertainment;Randall Emmett;
2018;Gotti;Vertical Entertainment;Marc Fiore;
2018;Gotti;Vertical Entertainment;Michael Froch;
2018;Gotti;Vertical Entertainment;George Furla;
2018;The Happytime Murders;STX;Ben Falcone;
2018;The Happytime Murders;STX;Jeffrey Hayes;
2018;The Happytime Murders;STX;Brian Henson;
2018;The Happytime Murders;STX;Melissa McCarthy;
2018;Robin Hood;Summit Entertainment;Jennifer Davisson;
2018;Robin Hood;Summit Entertainment;Leonardo DiCaprio;
2018;Winchester;Lionsgate;Tim McGahan;
2018;Winchester;Lionsgate;Brett Tomberlin;
2019;Cats;Universal Pictures;Debra Hayward;yes
2019;Cats;Universal Pictures;Tim Bevan;yes
2019;Cats;Universal Pictures;Eric Fellner;yes
2019;Cats;Universal Pictures;Tom Hooper;yes
2019;The Fanatic;Quiver Distribution;Daniel Grodnik;
2019;The Fanatic;Quiver Distribution;Oscar Generale;
2019;The Fanatic;Quiver Distribution;Bill Kenwright;
2019;The Haunting of Sharon Tate;Saban Films;Lucas Jarach;
2019;The Haunting of Sharon Tate;Saban Films;Daniel Farrands;
2019;The Haunting of Sharon Tate;Saban Films;Eric Brenner;
2019;A Madea Family Funeral;Lionsgate;Ozzie Areu;
2019;A Madea Family Funeral;Lionsgate;Will Areu;
2019;A Madea Family Funeral;Lionsgate;Mark E. Swinton;
2019;Rambo: Last Blood;Lionsgate;Avi Lerner;
2019;Rambo: Last Blood;Lionsgate;Kevin King Templeton;
2019;Rambo: Last Blood;Lionsgate;Yariv Lerner;
2019;Rambo: Last Blood;Lionsgate;Les Weldon;
